,id,value_id,value_name,attribute_group_id,source,name,value_struct,values,attribute_group_name,value_struct.number,value_struct.unit
207,COVERED_AREA,,55 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '55 m²', 'struct': {'number': 55, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,55.0,m²
208,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
209,ROOMS,,2,FIND,7398128016960827,Ambientes,,"[{'id': None, 'name': '2', 'struct': None, 'source': 7398128016960827}]",Ficha técnica,,
210,TOTAL_AREA,,55 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '55 m²', 'struct': {'unit': 'm²', 'number': 55}, 'source': 6316276763983939}]",Ficha técnica,55.0,m²
211,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'name': 'Alquiler', 'struct': None, 'source': 1, 'id': '242073'}]",Principales,,
212,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
213,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
214,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'struct': None, 'source': 1, 'id': '2230581', 'name': 'Usado'}]",,,
215,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Características adicionales,,
216,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 4709975701260268}]",Comodidades y amenities,,
217,BEDROOMS,,2,FIND,4709975701260268,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
218,COVERED_AREA,,135 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '135 m²', 'struct': {'number': 135, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,135.0,m²
219,FULL_BATHROOMS,,2,FIND,4709975701260268,Baños,,"[{'source': 4709975701260268, 'id': None, 'name': '2', 'struct': None}]",Ficha técnica,,
220,ROOMS,,3,FIND,4709975701260268,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
221,TOTAL_AREA,,135 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '135 m²', 'struct': {'number': 135, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,135.0,m²
222,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
223,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'source': 1, 'id': '242062', 'name': 'Departamento', 'struct': None}]",Principales,,
224,ITEM_CONDITION,2230284,Nuevo,,1,Condición del ítem,,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}]",,,
225,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'source': 4709975701260268, 'id': '242084', 'name': 'No', 'struct': None}]",Características adicionales,,
226,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Comodidades y amenities,,
227,BEDROOMS,,1,FIND,4709975701260268,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
228,COVERED_AREA,,43 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '43 m²', 'struct': {'number': 43, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,43.0,m²
229,FULL_BATHROOMS,,1,FIND,4709975701260268,Baños,,"[{'struct': None, 'source': 4709975701260268, 'id': None, 'name': '1'}]",Ficha técnica,,
230,ROOMS,,2,FIND,4709975701260268,Ambientes,,"[{'struct': None, 'source': 4709975701260268, 'id': None, 'name': '2'}]",Ficha técnica,,
231,TOTAL_AREA,,45 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '45 m²', 'struct': {'unit': 'm²', 'number': 45}, 'source': 4709975701260268}]",Ficha técnica,45.0,m²
232,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
233,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
234,ITEM_CONDITION,2230284,Nuevo,,1,Condición del ítem,,"[{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}]",,,
235,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'name': 'No', 'struct': None, 'source': 4709975701260268, 'id': '242084'}]",Características adicionales,,
236,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Comodidades y amenities,,
237,BEDROOMS,,4,FIND,4709975701260268,Dormitorios,,"[{'name': '4', 'struct': None, 'source': 4709975701260268, 'id': None}]",Ficha técnica,,
238,COVERED_AREA,,0 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '0 m²', 'struct': {'number': 0, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,0.0,m²
239,FULL_BATHROOMS,,4,FIND,4709975701260268,Baños,,"[{'id': None, 'name': '4', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
240,ROOMS,,5,FIND,4709975701260268,Ambientes,,"[{'name': '5', 'struct': None, 'source': 4709975701260268, 'id': None}]",Ficha técnica,,
241,TOTAL_AREA,,450 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '450 m²', 'struct': {'number': 450, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,450.0,m²
242,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'name': 'Alquiler', 'struct': None, 'source': 1, 'id': '242073'}]",Principales,,
243,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
244,ITEM_CONDITION,2230284,Nuevo,,1,Condición del ítem,,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}]",,,
245,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'struct': None, 'source': 4709975701260268, 'id': '242084', 'name': 'No'}]",Características adicionales,,
246,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'struct': None, 'source': 4709975701260268, 'id': '242085', 'name': 'Sí'}]",Comodidades y amenities,,
247,BEDROOMS,,4,FIND,4709975701260268,Dormitorios,,"[{'struct': None, 'source': 4709975701260268, 'id': None, 'name': '4'}]",Ficha técnica,,
248,COVERED_AREA,,170 m²,FIND,4709975701260268,Superficie cubierta,,"[{'source': 4709975701260268, 'id': None, 'name': '170 m²', 'struct': {'number': 170, 'unit': 'm²'}}]",Ficha técnica,170.0,m²
249,FULL_BATHROOMS,,4,FIND,4709975701260268,Baños,,"[{'id': None, 'name': '4', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
250,ROOMS,,3,FIND,4709975701260268,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
251,TOTAL_AREA,,170 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '170 m²', 'struct': {'number': 170, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,170.0,m²
252,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'struct': None, 'source': 1, 'id': '242073', 'name': 'Alquiler'}]",Principales,,
253,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
254,BEDROOMS,,2,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
255,COVERED_AREA,,60 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '60 m²', 'struct': {'number': 60, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,60.0,m²
256,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
257,ROOMS,,3,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
258,TOTAL_AREA,,63 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '63 m²', 'struct': {'unit': 'm²', 'number': 63}, 'source': 6316276763983939}]",Ficha técnica,63.0,m²
259,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'source': 1, 'id': '242073', 'name': 'Alquiler', 'struct': None}]",Principales,,
260,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'struct': None, 'source': 1, 'id': '242062', 'name': 'Departamento'}]",Principales,,
261,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
262,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,6316276763983939,Aire acondicionado,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 6316276763983939}]",Comodidades y amenities,,
263,BEDROOMS,,3,FIND,6316276763983939,Dormitorios,,"[{'struct': None, 'source': 6316276763983939, 'id': None, 'name': '3'}]",Ficha técnica,,
264,COVERED_AREA,,85 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '85 m²', 'struct': {'number': 85, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,85.0,m²
265,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
266,ROOMS,,4,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '4', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
267,TOTAL_AREA,,90 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '90 m²', 'struct': {'number': 90, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,90.0,m²
268,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
269,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
270,ITEM_CONDITION,2230581,Usado,OTHERS,6316276763983939,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 6316276763983939}]",Otros,,
271,BEDROOMS,,1,FIND,1505,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 1505}]",Ficha técnica,,
